BERN,CUI-less,CUI_list,MESH,OMIM,_id,wipsonkey
260835901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b1f67a3afc879de76d0b,5420023004414
260023201,[],"[""C0525045""]",D019964,[],60e2b1fa7a3afc879de76d25,5420023004414
263580401,[],"[""C0234985"",""C1270972"",""C0338656""]",D060825,[],60e2b20c7a3afc879de76d68,5420023004414
258607701,[],"[""C0524528"",""C0008074""]",D002659,[],60e2b25e7a3afc879de76d6e,5420016001013
259542101,[],"[""C0751437"",""C0032002"",""C0751438""]",D010900,[],60e2b2607a3afc879de76d74,5420016001013
106917801,[],"[""C2930619"",""C0266362"",""C0392697"",""C0036875"",""C0019269"",""C2930618"",""C0033804""]",D012734,[],60e2b2617a3afc879de76d78,5420016001013
256014601,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b2617a3afc879de76d79,5420016001013
106971001,[],"[""C0030567""]",D010300,[],60e2b2617a3afc879de76d7a,5420016001013
106924801,[],"[""C0338582"",""C0085220""]",D016657,[],60e2b2617a3afc879de76d7b,5420016001013
107288501,[],"[""C0268383"",""C0268384"",""C0206245"",""C1527337"",""C0155127"",""C0268385"",""C4551500"",""C0936273"",""C0342608"",""C0268386""]",D028227,[],60e2b2617a3afc879de76d7c,5420016001013
106990601,[],"[""C0751207"",""C0751208"",""C0020179"",""C0393574""]",D006816,143100,60e2b2617a3afc879de76d7d,5420016001013
255886401,[],"[""C0270715"",""C0751733"",""C0524851""]",D019636,[],60e2b2617a3afc879de76d7e,5420016001013
107254301,[],"[""C0018817"",""C0031192"",""C0344724""]",D006344,[],60e2b2617a3afc879de76d80,5420016001013
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b2617a3afc879de76d83,5420016001013
107482201,[],"[""C1527320"",""C3537146"",""C0025281""]",D008575,[],60e2b2617a3afc879de76d84,5420016001013
263580401,[],"[""C0234985"",""C1270972"",""C0338656""]",D060825,[],60e2b2617a3afc879de76d86,5420016001013
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b2617a3afc879de76d88,5420016001013
106970401,[],"[""C0751324"",""C0026769""]",D009103,126200,60e2b2617a3afc879de76d89,5420016001013
